Number,Filename,Output,Formula,# variables,variables,prefix,prefix_length,path
85,II.38.14,mu_S,Y/(2*(1+sigma)),2,"['Y', 'sigma']","['mul', 's_1', 'pow', 'add', 's+', '2', 'mul', 's+', '2', 's_2', 's-', '1']",12,./Feynman_with_units/II.38.14
86,III.4.32,n,1/(exp((h/(2*pi))*omega/(kb*T))-1),4,"['h', 'omega', 'kb', 'T']","['pow', 'add', 's-', '1', 'exp', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_3', 's-', '1', 'pow', 's_4', 's-', '1', 's-', '1']",34,./Feynman_with_units/III.4.32
87,III.4.33,E_n,(h/(2*pi))*omega/(exp((h/(2*pi))*omega/(kb*T))-1),4,"['h', 'omega', 'kb', 'T']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'mul', 'pow', 'pi', 's-', '1', 'pow', 'add', 's-', '1', 'exp', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'mul', 'pow', 'pi', 's-', '1', 'mul', 'pow', 's_3', 's-', '1', 'pow', 's_4', 's-', '1', 's-', '1']",52,./Feynman_with_units/III.4.33
88,III.7.38,omega,2*mom*B/(h/(2*pi)),3,"['mom', 'B', 'h']","['mul', 's+', '4', 'mul', 'pi', 'mul', 's_1', 'mul', 's_2', 'pow', 's_3', 's-', '1']",13,./Feynman_with_units/III.7.38
89,III.8.54,prob,sin(E_n*t/(h/(2*pi)))**2,3,"['E_n', 't', 'h']","['pow', 'sin', 'mul', 's+', '2', 'mul', 'pi', 'mul', 's_1', 'mul', 's_2', 'pow', 's_3', 's-', '1', 's+', '2']",17,./Feynman_with_units/III.8.54
90,III.9.52,prob,(p_d*Ef*t/(h/(2*pi)))*sin((omega-omega_0)*t/2)**2/((omega-omega_0)*t/2)**2,6,"['p_d', 'Ef', 't', 'h', 'omega', 'omega_0']","['mul', 's+', '8', 'mul', 'pi', 'mul', 's_1', 'mul', 's_2', 'mul', 'pow', 's_3', 's-', '1', 'mul', 'pow', 's_4', 's-', '1', 'mul', 'pow', 'add', 's_5', 'mul', 's-', '1', 's_6', 's-', '2', 'pow', 'sin', 'mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_3', 'add', 's_5', 'mul', 's-', '1', 's_6', 's+', '2']",50,./Feynman_with_units/III.9.52
91,III.10.19,E_n,mom*sqrt(Bx**2+By**2+Bz**2),4,"['mom', 'Bx', 'By', 'Bz']","['mul', 's_1', 'pow', 'add', 'pow', 's_2', 's+', '2', 'add', 'pow', 's_3', 's+', '2', 'pow', 's_4', 's+', '2', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1']",25,./Feynman_with_units/III.10.19
92,III.12.43,L,n*(h/(2*pi)),2,"['n', 'h']","['mul', 'mul', 's+', '1', 'pow', 's+', '2', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'pow', 'pi', 's-', '1']",17,./Feynman_with_units/III.12.43
93,III.13.18,v,2*E_n*d**2*k/(h/(2*pi)),4,"['E_n', 'd', 'k', 'h']","['mul', 's+', '4', 'mul', 'pi', 'mul', 's_1', 'mul', 's_3', 'mul', 'pow', 's_2', 's+', '2', 'pow', 's_4', 's-', '1']",18,./Feynman_with_units/III.13.18
94,III.14.14,I,I_0*(exp(q*Volt/(kb*T))-1),5,"['I_0', 'q', 'Volt', 'kb', 'T']","['mul', 's_1', 'add', 's-', '1', 'exp', 'mul', 's_2', 'mul', 's_3', 'mul', 'pow', 's_4', 's-', '1', 'pow', 's_5', 's-', '1']",19,./Feynman_with_units/III.14.14
95,III.15.12,E_n,2*U*(1-cos(k*d)),3,"['U', 'k', 'd']","['mul', 's+', '2', 'mul', 's_1', 'add', 's+', '1', 'mul', 's-', '1', 'cos', 'mul', 's_2', 's_3']",15,./Feynman_with_units/III.15.12
96,III.15.14,m,(h/(2*pi))**2/(2*E_n*d**2),3,"['h', 'E_n', 'd']","['mul', 'mul', 's+', '1', 'pow', 's+', '8', 's-', '1', 'mul', 'pow', 'pi', 's-', '2', 'mul', 'pow', 's_1', 's+', '2', 'mul', 'pow', 's_2', 's-', '1', 'pow', 's_3', 's-', '2']",28,./Feynman_with_units/III.15.14
97,III.15.27,k,2*pi*alpha/(n*d),3,"['alpha', 'n', 'd']","['mul', 's+', '2', 'mul', 'pi', 'mul', 's_1', 'mul', 'pow', 's_2', 's-', '1', 'pow', 's_3', 's-', '1']",16,./Feynman_with_units/III.15.27
98,III.17.37,f,Beta*(1+alpha*cos(theta)),3,"['Beta', 'alpha', 'theta']","['mul', 's_1', 'add', 's+', '1', 'mul', 's_2', 'cos', 's_3']",9,./Feynman_with_units/III.17.37
99,III.19.51,E_n,-m*q**4/(2*(4*pi*epsilon)**2*(h/(2*pi))**2)*(1/n**2),5,"['m', 'q', 'h', 'n', 'epsilon']","['mul', 'mul', 's-', '1', 'pow', 's+', '8', 's-', '1', 'mul', 's_1', 'mul', 'pow', 's_2', 's+', '4', 'mul', 'pow', 's_3', 's-', '2', 'mul', 'pow', 's_4', 's-', '2', 'pow', 's_5', 's-', '2']",30,./Feynman_with_units/III.19.51
100,III.21.20,j,-rho_c_0*q*A_vec/m,4,"['rho_c_0', 'q', 'A_vec', 'm']","['mul', 's-', '1', 'mul', 's_1', 'mul', 's_2', 'mul', 's_3', 'pow', 's_4', 's-', '1']",13,./Feynman_with_units/III.21.20
